dataset,seed,method,unlearn_time,audit_time,total_time,lpr_acc
COVID19,456,BU,1.2916009426116943,0.2769811153411865,1.5685820579528809,93.84657088641907
COVID19,456,SSD,1.140662431716919,0.2538542747497558,1.3945167064666748,96.2930333423692
COVID19,456,Target,1.1970348358154297,0.5003631114959717,1.6973979473114014,65.80374085117919
YahooAnswers,42,Retrain,57.38885641098023,0.8715426921844482,58.26039910316467,54.083333333333336
YahooAnswers,42,FT,5.636100769042969,0.7209444046020508,6.35704517364502,59.953703703703695
YahooAnswers,42,Fisher,0.2627806663513183,0.6061258316040039,0.8689064979553223,53.97222222222222
YahooAnswers,42,Amnesiac,0.9891238212585448,0.7397205829620361,1.728844404220581,61.00925925925927
YahooAnswers,42,UNSIR,7.46138072013855,0.6077854633331299,8.06916618347168,55.4537037037037
YahooAnswers,42,BU,1.3917465209960938,0.767045259475708,2.1587917804718018,60.83333333333333
YahooAnswers,42,SSD,1.574906826019287,0.7417631149291992,2.3166699409484863,61.75925925925926
YahooAnswers,42,Target,1.314023494720459,0.8080906867980957,2.1221141815185547,61.02777777777777
YahooAnswers,123,Retrain,58.50980138778687,0.7727994918823242,59.28260087966919,55.333333333333336
YahooAnswers,123,FT,5.434871912002564,0.781707763671875,6.216579675674439,61.37037037037037
YahooAnswers,123,Fisher,0.1999256610870361,0.6903557777404785,0.8902814388275146,53.85185185185185
YahooAnswers,123,Amnesiac,1.0570387840270996,0.7588536739349365,1.815892457962036,61.37037037037037
YahooAnswers,123,UNSIR,7.216146945953369,0.6924026012420654,7.908549547195435,56.05555555555556
YahooAnswers,123,BU,1.111891746520996,0.7866284847259521,1.898520231246948,61.18518518518519
YahooAnswers,123,SSD,1.679572582244873,0.7794449329376221,2.459017515182495,62.49074074074073
YahooAnswers,123,Target,1.132453441619873,0.7894656658172607,1.9219191074371336,61.83333333333333
YahooAnswers,456,Retrain,58.9299213886261,0.7636940479278564,59.69361543655396,53.91666666666667
YahooAnswers,456,FT,6.05327033996582,0.7396063804626465,6.792876720428467,60.92592592592593
YahooAnswers,456,Fisher,0.4826078414916992,0.663100004196167,1.1457078456878662,54.27777777777778
YahooAnswers,456,Amnesiac,1.0471034049987793,0.752467155456543,1.7995705604553225,62.11111111111111
YahooAnswers,456,UNSIR,7.26386570930481,0.614316463470459,7.878182172775267,55.67592592592593
YahooAnswers,456,BU,1.1192522048950195,0.7865028381347656,1.9057550430297847,62.03703703703704
YahooAnswers,456,SSD,1.3877942562103271,0.7736468315124512,2.1614410877227783,62.00925925925927
YahooAnswers,456,Target,0.8791861534118652,0.7979779243469238,1.677164077758789,62.0
