dataset,architecture,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability,runtime
MNIST,resnet18,123,SSD,99.3458980044346,98.36734693877553,99.79297705778542,0.9999547490836688,0.9964392039241105,0.9842498623419692,0.7147168648656518,12.366336107254028
MNIST,resnet18,123,Target,15.609756097560975,0.0,98.49163612229816,0.9993727720208556,0.8176654504481209,0.8259169787450702,0.4565659392933727,0.3498713970184326
MNIST,resnet18,456,Retrain,99.40133037694014,0.0,99.0387951189345,0.9998114545152872,0.9838496220286856,0.9999997752518306,0.321132841947808,769.9994475841522
MNIST,resnet18,456,FT,99.33481152993348,99.3877551020408,99.6413864880764,0.9998139684550834,0.9968988128014296,0.985950496677224,0.7793381340421557,55.15686202049256
MNIST,resnet18,456,Fisher,9.58980044345898,0.0,97.75970255064333,0.9982414991125792,0.0,0.0,0.0,1.2562634944915771
MNIST,resnet18,456,Amnesiac,69.55654101995566,8.36734693877551,99.4713184608655,0.9998127114851854,0.8687733253439507,0.8861511262918912,1.327583683840322,6.170819520950317
MNIST,resnet18,456,UNSIR,53.40354767184036,0.0,97.5119537837308,0.996976987395106,0.8686414473031056,0.8834588725055372,0.3783998709578194,68.21708631515503
MNIST,resnet18,456,BU,44.27937915742794,0.0,99.19038568864352,0.9980479257482742,0.849342205105049,0.8625813142728409,0.1581341977439168,6.141298532485962
MNIST,resnet18,456,SSD,99.30155210643017,94.48979591836736,99.62290903057452,0.9996870144953768,0.9888767637381785,0.9783259799371596,0.557802250267793,12.4407479763031
MNIST,resnet18,456,Target,17.88248337028825,0.0,98.077590237869,0.998401134289636,0.8228223645408721,0.8350069521337024,0.219112738143166,0.3543665409088135
CIFAR10,resnet18,42,Retrain,89.76666666666667,0.0,79.51851851851852,0.9530567901234568,0.9894078482100472,1.0000000390168762,0.0955730812348999,903.4032757282256
CIFAR10,resnet18,42,FT,89.42222222222222,48.5,90.94444444444446,0.9832382716049382,0.9982786003609004,0.9900765618512688,0.154174209759576,70.36432886123657
CIFAR10,resnet18,42,Fisher,9.688888888888888,0.0,69.55555555555556,0.8668308641975309,0.0,0.0,0.0,1.654027223587036
CIFAR10,resnet18,42,Amnesiac,71.53333333333333,14.1,86.62962962962963,0.973704938271605,0.9604901867836654,0.9584405231570678,0.1249744370149331,7.95623254776001
CIFAR10,resnet18,42,UNSIR,24.42222222222222,0.0,69.16666666666667,0.8774024691358026,0.948525358242361,0.9454619891029882,0.0889828202076022,83.29309725761414
CIFAR10,resnet18,42,BU,46.41111111111111,0.0,86.72222222222223,0.9705864197530863,0.940683719260849,0.9319830111006484,0.1847594866532213,8.223646640777588
CIFAR10,resnet18,42,SSD,89.61111111111111,86.5,91.37037037037037,0.9852061728395062,0.9999925391264248,0.9896401211053824,0.2397050770165776,16.394949913024902
CIFAR10,resnet18,42,Target,23.488888888888887,0.0,82.72222222222223,0.9543148148148148,0.9292836285507,0.9269990392564031,0.1584937050970211,0.5240552425384521
CIFAR10,resnet18,123,Retrain,89.7,0.0,85.33333333333333,0.9648814814814816,0.9885861166450493,1.0000000323517322,0.0933370897173515,900.2710950374603
CIFAR10,resnet18,123,FT,89.9888888888889,48.2,89.70370370370371,0.986041975308642,0.99874036807765,0.9885439984749532,0.1557947845840746,71.77848172187805
CIFAR10,resnet18,123,Fisher,6.355555555555555,43.7,67.64814814814815,0.856732098765432,0.0,0.0,0.0,1.634861707687378
CIFAR10,resnet18,123,Amnesiac,69.03333333333333,12.9,86.66666666666667,0.9638555555555556,0.9788998582234008,0.9731581661960624,0.0861480751537758,8.145766019821167
CIFAR10,resnet18,123,UNSIR,22.655555555555555,0.0,69.33333333333334,0.8603234567901235,0.9467772001857252,0.942220511978391,0.0871479386032868,84.89673018455505
CIFAR10,resnet18,123,BU,46.67777777777778,0.0,86.75925925925925,0.9700987654320988,0.9706260199288226,0.9644381777110236,0.1005806924400911,8.103180885314941
