dataset,forget_class,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability
CIFAR100,99,456,Retrain,63.02020202020202,0.0,66.48148148148148,0.939506172839506,0.9917985130980188,0.9999999799193268,0.1258237285661567
CIFAR100,99,456,FT,61.44444444444444,14.0,66.61616161616162,0.9494837261503928,0.9986091301238356,0.990861411841478,0.23409814606039
CIFAR100,99,456,BU,45.93939393939394,0.0,64.88215488215488,0.9238159371492703,0.9923732154258926,0.9848340255514306,0.1666060619579831
CIFAR100,99,456,Target,1.0101010101010102,0.0,50.0,0.8039842873176206,0.8635020619628858,0.8658936059967843,0.1403202646205623
CIFAR100,0,42,Retrain,62.56565656565657,0.0,78.21548821548822,0.9761279461279462,0.991837535818086,1.0000000072377415,0.4571428085388692
CIFAR100,0,42,FT,61.80808080808081,29.0,74.8989898989899,0.9684399551066218,0.9989757411873734,0.9917141653120124,0.6102039376406497
CIFAR100,0,42,BU,31.24242424242424,0.0,78.26599326599326,0.9884960718294052,0.9806729097676916,0.9739399864052264,0.4197946119044679
CIFAR100,0,42,Target,1.0101010101010102,0.0,51.5993265993266,0.7372839506172839,0.729063533212783,0.726006564920894,0.0277989583338193
CIFAR100,0,123,Retrain,62.25252525252525,0.0,74.84848484848486,0.9706397306397306,0.992184053010659,1.0000000428280442,0.4989851559619355
CIFAR100,0,123,FT,61.81818181818182,34.0,84.93265993265993,0.988114478114478,0.999003078295915,0.99136312796826,0.6444836936848782
CIFAR100,0,123,BU,29.43434343434344,0.0,81.5993265993266,0.9753423120089788,0.9779499855899618,0.9709989146102423,0.4580134767378194
CIFAR100,0,123,Target,1.0101010101010102,0.0,54.93265993265993,0.8831088664421998,0.7318645419772991,0.733055642587108,0.0710749375744468
CIFAR100,0,456,Retrain,62.686868686868685,0.0,69.84848484848484,0.9702918069584736,0.9920284988506892,1.0000000019668684,0.5133664892757492
CIFAR100,0,456,FT,62.09090909090909,26.0,79.94949494949495,0.970695847362514,0.9990934663598064,0.991968557559928,0.596840011065114
CIFAR100,0,456,BU,34.323232323232325,0.0,79.94949494949495,0.9783726150392816,0.9821910054885602,0.9751436159578551,0.3589833273555891
CIFAR100,0,456,Target,1.0101010101010102,0.0,51.63299663299663,0.7864421997755331,0.6834332000366001,0.6838256535098489,0.1604179892739395
CIFAR100,33,42,Retrain,62.74747474747475,0.0,71.43097643097643,0.9749719416386085,0.9920393605554868,1.0000000158788298,0.207405521676292
CIFAR100,33,42,FT,61.67676767676768,3.0,78.0976430976431,0.9685185185185186,0.9990247802781832,0.991512226413189,0.2536751133117327
CIFAR100,33,42,BU,48.08080808080808,1.0,79.73063973063972,0.9609652076318744,0.9948090413445904,0.987417052728344,0.141252899633469
CIFAR100,33,42,Target,1.0101010101010102,0.0,53.28282828282829,0.8440740740740741,0.9021660176002584,0.904176999153134,0.3554912143632039
CIFAR100,33,123,Retrain,62.74747474747475,0.0,74.78114478114477,0.967250280583614,0.9918393091374555,1.000000043841522,0.200684127657449
CIFAR100,33,123,FT,61.95959595959596,15.0,71.58249158249158,0.9778675645342312,0.998928258554396,0.9915799670267468,0.2652230696214997
CIFAR100,33,123,BU,47.64646464646464,1.0,73.26599326599327,0.9591133557800224,0.9937128591531836,0.9881886420643984,0.1556333775436376
CIFAR100,33,123,Target,1.0101010101010102,0.0,51.5993265993266,0.8875196408529742,0.8257104772839352,0.8284515681368786,0.4702029055345608
CIFAR100,33,456,Retrain,63.1010101010101,0.0,73.1144781144781,0.9679910213243548,0.9918730668051444,1.0000000414719632,0.1958160782692679
CIFAR100,33,456,FT,62.25252525252525,9.0,78.16498316498317,0.980695847362514,0.999130678178594,0.9917299806568596,0.2581079840654572
CIFAR100,33,456,BU,44.70707070707071,1.0,73.21548821548822,0.9655667789001122,0.993964807350772,0.9873803189537128,0.1762092657162771
CIFAR100,33,456,Target,1.0101010101010102,0.0,50.0,0.8661952861952863,0.5687743926893098,0.5698368159296462,0.1420774530770951
